Ticker;Maturity;AdjstdQt;Data_Referencia
DI1F29;02/01/2029;61373.62;08/10/2024
DI1J29;02/04/2029;59693.81;08/10/2024
DI1N29;02/07/2029;57987.21;08/10/2024
DI1V29;01/10/2029;56308.64;08/10/2024
DI1F30;02/01/2030;54734.83;08/10/2024
DI1F31;02/01/2031;48872.78;08/10/2024
DI1F32;02/01/2032;43649.07;08/10/2024
DI1F33;03/01/2033;38984.46;08/10/2024
DI1F34;02/01/2034;34939.82;08/10/2024
DI1F35;02/01/2035;31258.44;08/10/2024
DI1F36;02/01/2036;27973.55;08/10/2024
DI1F37;02/01/2037;24943.25;08/10/2024
DI1F38;04/01/2038;22281.56;08/10/2024
DI1F39;03/01/2039;19885.87;08/10/2024
DI1X24;01/11/2024;99319.13;09/10/2024
DI1Z24;02/12/2024;98536.19;09/10/2024
DI1F25;02/01/2025;97645.44;09/10/2024
DI1G25;03/02/2025;96699.21;09/10/2024
DI1H25;05/03/2025;95809.34;09/10/2024
DI1J25;01/04/2025;94961.61;09/10/2024
DI1K25;02/05/2025;94059.39;09/10/2024
DI1M25;02/06/2025;93117.0;09/10/2024
DI1N25;01/07/2025;92212.34;09/10/2024
DI1Q25;01/08/2025;91188.23;09/10/2024
DI1U25;01/09/2025;90269.52;09/10/2024
DI1V25;01/10/2025;89295.17;09/10/2024
DI1F26;02/01/2026;86549.2;09/10/2024
DI1J26;01/04/2026;84016.1;09/10/2024
DI1N26;01/07/2026;81593.42;09/10/2024
DI1V26;01/10/2026;79139.33;09/10/2024
DI1F27;04/01/2027;76908.3;09/10/2024
DI1J27;01/04/2027;74765.77;09/10/2024
DI1N27;01/07/2027;72573.11;09/10/2024
DI1V27;01/10/2027;70363.93;09/10/2024
DI1F28;03/01/2028;68325.46;09/10/2024
DI1J28;03/04/2028;66324.53;09/10/2024
DI1N28;03/07/2028;64421.11;09/10/2024
DI1V28;02/10/2028;62495.97;09/10/2024
DI1F29;02/01/2029;60800.34;09/10/2024
DI1J29;02/04/2029;59095.56;09/10/2024
DI1N29;02/07/2029;57374.38;09/10/2024
DI1V29;01/10/2029;55677.63;09/10/2024
DI1F30;02/01/2030;54077.95;09/10/2024
DI1F31;02/01/2031;48190.34;09/10/2024
DI1F32;02/01/2032;42927.3;09/10/2024
DI1F33;03/01/2033;38264.94;09/10/2024
DI1F34;02/01/2034;34231.66;09/10/2024
DI1F35;02/01/2035;30575.48;09/10/2024
DI1F36;02/01/2036;27302.31;09/10/2024
DI1F37;02/01/2037;24290.54;09/10/2024
DI1F38;04/01/2038;21650.99;09/10/2024
DI1F39;03/01/2039;19280.44;09/10/2024
DI1X24;01/11/2024;99359.28;10/10/2024
DI1Z24;02/12/2024;98575.82;10/10/2024
DI1F25;02/01/2025;97684.51;10/10/2024
DI1G25;03/02/2025;96735.73;10/10/2024
DI1H25;05/03/2025;95848.1;10/10/2024
DI1J25;01/04/2025;94998.09;10/10/2024
DI1K25;02/05/2025;94091.08;10/10/2024
DI1M25;02/06/2025;93144.17;10/10/2024
DI1N25;01/07/2025;92234.93;10/10/2024
DI1Q25;01/08/2025;91201.35;10/10/2024
DI1U25;01/09/2025;90269.89;10/10/2024
DI1V25;01/10/2025;89290.28;10/10/2024
DI1F26;02/01/2026;86510.72;10/10/2024
DI1J26;01/04/2026;83950.83;10/10/2024
DI1N26;01/07/2026;81507.18;10/10/2024
DI1V26;01/10/2026;79023.6;10/10/2024
DI1F27;04/01/2027;76775.59;10/10/2024
DI1J27;01/04/2027;74614.23;10/10/2024
DI1N27;01/07/2027;72417.95;10/10/2024
DI1V27;01/10/2027;70210.75;10/10/2024
DI1F28;03/01/2028;68176.92;10/10/2024
DI1J28;03/04/2028;66150.45;10/10/2024
DI1N28;03/07/2028;64263.43;10/10/2024
DI1V28;02/10/2028;62345.82;10/10/2024
DI1F29;02/01/2029;60652.7;10/10/2024
DI1J29;02/04/2029;58963.03;10/10/2024
DI1N29;02/07/2029;57246.45;10/10/2024
DI1V29;01/10/2029;55572.12;10/10/2024
DI1F30;02/01/2030;53964.27;10/10/2024
DI1F31;02/01/2031;48075.5;10/10/2024
DI1F32;02/01/2032;42857.03;10/10/2024
DI1F33;03/01/2033;38182.68;10/10/2024
DI1F34;02/01/2034;34163.77;10/10/2024
DI1F35;02/01/2035;30498.52;10/10/2024
DI1F36;02/01/2036;27225.65;10/10/2024
DI1F37;02/01/2037;24215.2;10/10/2024
DI1F38;04/01/2038;21577.57;10/10/2024
DI1F39;03/01/2039;19209.44;10/10/2024
DI1X24;01/11/2024;99399.1;11/10/2024
DI1Z24;02/12/2024;98614.79;11/10/2024
DI1F25;02/01/2025;97720.01;11/10/2024
DI1G25;03/02/2025;96770.52;11/10/2024
DI1H25;05/03/2025;95878.34;11/10/2024
DI1J25;01/04/2025;95023.32;11/10/2024
DI1K25;02/05/2025;94113.4;11/10/2024
DI1M25;02/06/2025;93162.21;11/10/2024
DI1N25;01/07/2025;92249.67;11/10/2024
DI1Q25;01/08/2025;91210.9;11/10/2024
DI1U25;01/09/2025;90266.41;11/10/2024
DI1V25;01/10/2025;89285.78;11/10/2024
DI1F26;02/01/2026;86486.85;11/10/2024
DI1J26;01/04/2026;83893.86;11/10/2024
DI1N26;01/07/2026;81403.3;11/10/2024
DI1V26;01/10/2026;78871.82;11/10/2024
DI1F27;04/01/2027;76588.44;11/10/2024
DI1J27;01/04/2027;74402.51;11/10/2024
DI1N27;01/07/2027;72177.64;11/10/2024
DI1V27;01/10/2027;69946.85;11/10/2024
DI1F28;03/01/2028;67888.47;11/10/2024
DI1J28;03/04/2028;65856.47;11/10/2024
DI1N28;03/07/2028;63938.99;11/10/2024
DI1V28;02/10/2028;62007.45;11/10/2024
DI1F29;02/01/2029;60299.62;11/10/2024
DI1J29;02/04/2029;58579.92;11/10/2024
DI1N29;02/07/2029;56852.01;11/10/2024
DI1V29;01/10/2029;55138.08;11/10/2024
