Ticker;Maturity;AdjstdQt;Data_Referencia
DI1F25;02/01/2025;78569.37;08/01/2021
DI1J25;01/04/2025;77031.21;08/01/2021
DI1N25;01/07/2025;75647.24;08/01/2021
DI1V25;01/10/2025;73995.87;08/01/2021
DI1F26;02/01/2026;72485.91;08/01/2021
DI1N26;01/07/2026;69625.93;08/01/2021
DI1F27;04/01/2027;66665.87;08/01/2021
DI1F28;03/01/2028;61319.64;08/01/2021
DI1F29;02/01/2029;56263.65;08/01/2021
DI1F30;02/01/2030;51646.26;08/01/2021
DI1F31;02/01/2031;47325.4;08/01/2021
DI1F33;03/01/2033;39848.36;08/01/2021
DI1F35;02/01/2035;33596.4;08/01/2021
DI1G21;01/02/2021;99887.45;11/01/2021
DI1H21;01/03/2021;99751.26;11/01/2021
DI1J21;01/04/2021;99570.89;11/01/2021
DI1K21;03/05/2021;99398.68;11/01/2021
DI1M21;01/06/2021;99190.14;11/01/2021
DI1N21;01/07/2021;98963.52;11/01/2021
DI1Q21;02/08/2021;98706.05;11/01/2021
DI1U21;01/09/2021;98382.58;11/01/2021
DI1V21;01/10/2021;98056.15;11/01/2021
DI1X21;01/11/2021;97728.03;11/01/2021
DI1Z21;01/12/2021;97375.53;11/01/2021
DI1F22;03/01/2022;96949.0;11/01/2021
DI1J22;01/04/2022;95645.31;11/01/2021
DI1N22;01/07/2022;94204.51;11/01/2021
DI1V22;03/10/2022;92591.54;11/01/2021
DI1F23;02/01/2023;91013.91;11/01/2021
DI1J23;03/04/2023;89372.64;11/01/2021
DI1N23;03/07/2023;87721.32;11/01/2021
DI1V23;02/10/2023;86000.75;11/01/2021
DI1F24;02/01/2024;84379.97;11/01/2021
DI1J24;01/04/2024;82737.42;11/01/2021
DI1N24;01/07/2024;81088.89;11/01/2021
DI1V24;01/10/2024;79434.09;11/01/2021
DI1F25;02/01/2025;77858.85;11/01/2021
DI1J25;01/04/2025;76298.49;11/01/2021
DI1N25;01/07/2025;74895.6;11/01/2021
DI1V25;01/10/2025;73224.31;11/01/2021
DI1F26;02/01/2026;71698.89;11/01/2021
DI1N26;01/07/2026;68831.96;11/01/2021
DI1F27;04/01/2027;65872.15;11/01/2021
DI1F28;03/01/2028;60527.06;11/01/2021
DI1F29;02/01/2029;55495.38;11/01/2021
DI1F30;02/01/2030;50895.6;11/01/2021
DI1F31;02/01/2031;46603.57;11/01/2021
DI1F33;03/01/2033;39118.44;11/01/2021
DI1F35;02/01/2035;32879.34;11/01/2021
DI1G21;01/02/2021;99894.94;12/01/2021
DI1H21;01/03/2021;99758.05;12/01/2021
DI1J21;01/04/2021;99579.39;12/01/2021
DI1K21;03/05/2021;99403.67;12/01/2021
DI1M21;01/06/2021;99211.41;12/01/2021
DI1N21;01/07/2021;98985.74;12/01/2021
DI1Q21;02/08/2021;98732.79;12/01/2021
DI1U21;01/09/2021;98415.17;12/01/2021
DI1V21;01/10/2021;98094.25;12/01/2021
DI1X21;01/11/2021;97778.7;12/01/2021
DI1Z21;01/12/2021;97439.62;12/01/2021
DI1F22;03/01/2022;97029.75;12/01/2021
DI1J22;01/04/2022;95737.85;12/01/2021
DI1N22;01/07/2022;94305.88;12/01/2021
DI1V22;03/10/2022;92699.52;12/01/2021
DI1F23;02/01/2023;91167.97;12/01/2021
DI1J23;03/04/2023;89551.02;12/01/2021
DI1N23;03/07/2023;87924.32;12/01/2021
DI1V23;02/10/2023;86256.47;12/01/2021
DI1F24;02/01/2024;84694.37;12/01/2021
DI1J24;01/04/2024;83074.49;12/01/2021
DI1N24;01/07/2024;81451.55;12/01/2021
DI1V24;01/10/2024;79828.8;12/01/2021
DI1F25;02/01/2025;78285.47;12/01/2021
DI1J25;01/04/2025;76746.91;12/01/2021
DI1N25;01/07/2025;75369.42;12/01/2021
DI1V25;01/10/2025;73720.1;12/01/2021
DI1F26;02/01/2026;72219.91;12/01/2021
DI1N26;01/07/2026;69361.21;12/01/2021
DI1F27;04/01/2027;66405.43;12/01/2021
DI1F28;03/01/2028;61076.05;12/01/2021
DI1F29;02/01/2029;56046.96;12/01/2021
DI1F30;02/01/2030;51462.58;12/01/2021
DI1F31;02/01/2031;47179.36;12/01/2021
DI1F33;03/01/2033;39696.74;12/01/2021
DI1F35;02/01/2035;33444.56;12/01/2021
DI1G21;01/02/2021;99902.34;13/01/2021
DI1H21;01/03/2021;99765.84;13/01/2021
DI1J21;01/04/2021;99584.51;13/01/2021
DI1K21;03/05/2021;99408.74;13/01/2021
DI1M21;01/06/2021;99207.87;13/01/2021
DI1N21;01/07/2021;98969.86;13/01/2021
DI1Q21;02/08/2021;98707.52;13/01/2021
DI1U21;01/09/2021;98379.25;13/01/2021
DI1V21;01/10/2021;98046.35;13/01/2021
DI1X21;01/11/2021;97719.86;13/01/2021
DI1Z21;01/12/2021;97369.76;13/01/2021
DI1F22;03/01/2022;96946.14;13/01/2021
DI1J22;01/04/2022;95633.77;13/01/2021
DI1N22;01/07/2022;94116.13;13/01/2021
DI1V22;03/10/2022;92457.12;13/01/2021
DI1F23;02/01/2023;90801.67;13/01/2021
DI1J23;03/04/2023;89136.2;13/01/2021
DI1N23;03/07/2023;87462.65;13/01/2021
DI1V23;02/10/2023;85734.92;13/01/2021
DI1F24;02/01/2024;84113.2;13/01/2021
DI1J24;01/04/2024;82487.84;13/01/2021
DI1N24;01/07/2024;80865.55;13/01/2021
DI1V24;01/10/2024;79210.72;13/01/2021
DI1F25;02/01/2025;77637.7;13/01/2021
DI1J25;01/04/2025;76109.2;13/01/2021
DI1N25;01/07/2025;74747.23;13/01/2021
DI1V25;01/10/2025;73114.45;13/01/2021
DI1F26;02/01/2026;71637.14;13/01/2021
DI1N26;01/07/2026;68764.34;13/01/2021
DI1F27;04/01/2027;65799.04;13/01/2021
DI1F28;03/01/2028;60502.99;13/01/2021
DI1F29;02/01/2029;55528.02;13/01/2021
DI1F30;02/01/2030;50934.56;13/01/2021
DI1F31;02/01/2031;46653.44;13/01/2021
DI1F33;03/01/2033;39164.45;13/01/2021
DI1F35;02/01/2035;32921.34;13/01/2021
DI1G21;01/02/2021;99909.95;14/01/2021
DI1H21;01/03/2021;99773.85;14/01/2021
DI1J21;01/04/2021;99596.3;14/01/2021
DI1K21;03/05/2021;99423.76;14/01/2021
DI1M21;01/06/2021;99215.09;14/01/2021
DI1N21;01/07/2021;98983.11;14/01/2021
DI1Q21;02/08/2021;98723.12;14/01/2021
DI1U21;01/09/2021;98397.16;14/01/2021
DI1V21;01/10/2021;98067.26;14/01/2021
DI1X21;01/11/2021;97736.35;14/01/2021
DI1Z21;01/12/2021;97380.68;14/01/2021
DI1F22;03/01/2022;96949.41;14/01/2021
DI1J22;01/04/2022;95636.57;14/01/2021
DI1N22;01/07/2022;94079.06;14/01/2021
DI1V22;03/10/2022;92451.16;14/01/2021
DI1F23;02/01/2023;90946.63;14/01/2021
DI1J23;03/04/2023;89298.8;14/01/2021
